college,aliases,aliases,aliases,aliases
boston college,bc,,,
clemson,clem,,,
duke,duke,,,
florida state,fsu,,,
georgia tech,gt,gtech,,
louisville,lou,,,
miami (fl),mia,um,the u,
nc state,ncst,,,
pittsburgh,pitt,pit,,
syracuse,syr,cuse,,
north carolina,unc,,,
virginia,uva,,,
virginia tech,vt,vtech,vatech,
wake forest,wake,wf,,
illinois,ill,,,
indiana,ind,iu,,
iowa,iowa,,,
michigan,mich,um,,
michigan state,msu,,,
minnesota,minn,,,
nebraska,neb,,,
northwestern,nw,,,
ohio state,osu,ohio st,,
penn state,psu,,,
purdue,pur,,,
rutgers,rutg,rutties,,
maryland,umd,,,
wisconsin,wis,sconsin,,
baylor,bay,,,
iowa state,isu,,,
iowa st,isu,,,
kansas,ku,,,
kansas state,ksu,,,
oklahoma,okla,ou,,
oklahoma state,okst,,,
tcu,tcu,,,
texas,tex,ut,,
texas tech,ttu,,,
texas a&m,tamu,,,
texas am,tamu,,,
west virginia,wvu,,,
arizona,ariz,az,,
arizona state,asu,,,
cal,cal,,,
colorado,colo,,,
oregon,ore,uo,,
oregon state,orst,osu,,
stanford,stan,,,
ucla,ucla,,,
usc,usc,,,
utah,utah,,,
washington,wash,uw,,
washington state,wsu,,,
alabama,ala,bama,,
arkansas,ark,,,
auburn,aub,,,
florida,fla,uf,,
georgia,uga,,,
kentucky,uk,,,
lsu,lsu,,,
mississippi,ole miss,miss,,
ole miss,mississippi,ole miss,miss,
mississippi state,msst,msu,,
missouri,miz,mizz,,
south carolina,sc,scar,,
tennessee,tenn,ut,,
vanderbilt,van,vandy,,
byu,byu,,,
army,army,,,
umass,umass,,,
notre dame,nd,,,
cincinnati,cin,cincy,,
uconn,conn,ucon,,
ecu,ecu,,,
houston,hou,,,
memphis,mem,,,
navy,navy,,,
smu,smu,,,
south florida,usf,,,
temple,tem,,,
tulane,tuln,,,
tulsa,tlsa,,,
ucf,ucf,,,
charlotte,char,,,
fau,fau,,,
fiu,fiu,,,
louisiana tech,lt,latech,,
marshall,mrsh,,,
middle tennessee,mtsu,,,
north texas,unt,,,
old dominion,odu,,,
rice,rice,,,
southern miss,usm,,,
utep,utep,,,
utsa,utsa,,,
wku,wku,,,
akron,akr,,,
ball state,ball,bsu,,
bowling green,bgsu,,,
buffalo,buff,,,
central michigan,cmu,,,
eastern michigan,emu,,,
kent state,kent,ksu,,
miami (oh),m-oh,miami ohio,,
northern illinois,niu,,,
ohio,ohio,,,
toledo,tol,toledo,,
western michigan,wmu,,,
air force,afa,af,,
boise state,bsu,,,
colorado state,csu,,,
fresno state,fres,,,
hawaii,haw,,,
nevada,nev,,,
new mexico,unm,,,
san diego state,sdsu,,,
san josé state,sjsu,,,
unlv,unlv,,,
utah state,usu,,,
wyoming,wyo,,,
appalachian state,app st,,,
arkansas state,arst,,,
georgia southern,gaso,,,
georgia state,gast,gsu,,
idaho,idho,,,
louisiana lafayette,ull,,,
louisiana monroe,ulm,,,
new mexico state,nmsu,,,
south alabama,usa,,,
texas state,txst,,,
troy,troy,,,
big sky,big sky,,,
cal poly,cp,,,
eastern washington,ewu,,,
idaho state,idst,,,
montana,mont,,,
montana state,mtst,,,
north dakota,und,,,
northern arizona,nau,,,
northern colorado,unco,,,
portland state,prst,,,
sacramento state,sac,,,
southern utah,suu,,,
uc davis,ucd,,,
weber state,web,,,
big south,big south,,,
charleston southern,chso,,,
coastal carolina,ccar,,,
gardner-webb,webb,,,
kennesaw state,kenn,,,
liberty,lib,,,
monmouth,monm,,,
presbyterian,pre,,,
albany,alby,,,
delaware,del,,,
elon,elon,,,
james madison,jmu,,,
maine,maine,mne,,
new hampshire,unh,,,
rhode island,uri,,,
richmond,rich,,,
stony brook,ston,,,
towson,tows,,,
villanova,nova,,,
william & mary,w&m,,,
brown,brwn,,,
cornell,cor,,,
columbia,clmb,,,
dartmouth,dart,,,
harvard,harv,,,
upenn,penn,,,
princeton,prin,,,
yale,yale,,,
bethune-cookman,cook,,,
delaware state,dsu,,,
florida a&m,famu,,,
hampton,hamp,,,
howard,how,,,
morgan state,morg,,,
norfolk state,norf,,,
north carolina a&t,ncat,,,
nc central,nccu,,,
savannah state,sav,,,
south carolina state,scst,,,
illinois state,ilst,,,
indiana state,inst,,,
missouri state,most,,,
north dakota state,ndsu,,,
northern iowa,uni,,,
south dakota,sdak,,,
south dakota state,sdsu,,,
southern illinois,siu,,,
western illinois,wiu,,,
youngstown state,ysu,,,
bryant,bry,,,
central connecticut,ccsu,,,
duquesne,duq,,,
robert morris (pa),rmu,,,
sacred heart,shu,,,
st. francis (pa),sfu,,,
wagner,wag,,,
ohio valley,ovc,,,
austin peay,peay,,,
eastern illinois,eiu,,,
eastern kentucky,eky,,,
jacksonville state,jvst,,,
murray state,murr,,,
southeast missouri,semo,,,
tennessee state,tnst,,,
tennessee tech,tntc,,,
tennessee-martin,utm,,,
bucknell,buck,,,
colgate,colg,,,
fordham,for,,,
georgetown,gtwn,,,
holy cross,hc,,,
lafayette,laf,,,
lehigh,leh,,,
pioneer,pioneer,,,
butler,but,,,
campbell,camp,,,
davidson,dav,,,
dayton,day,,,
drake,drke,,,
jacksonville,jac,,,
marist,mrst,,,
morehead state,more,,,
san diego,usd,,,
stetson,stet,,,
valparaiso,valp,,,
chattanooga,chat,,,
etsu,etsu,,,
furman,fur,,,
mercer,mer,,,
samford,sam,,,
the citadel,cit,,,
vmi,vmi,,,
western carolina,wcu,,,
wofford,wof,,,
southland,southland,,,
abilene christian,acu,,,
central arkansas,uca,,,
houston baptist,hbu,,,
incarnate word,iw,,,
lamar,lam,,,
mcneese state,mcns,,,
nicholls state,nich,,,
northwestern state,nwst,,,
sam houston state,shsu,,,
southeastern louisiana,sela,,,
stephen f. austin,sfa,,,
swac,swac,,,
