college,aliases,aliases,aliases,aliases
abilene christian,acu,,,
air force,afa,af,,
akron,akr,,,
Ala-Birmingham,UAB,alabama birmingham,ua birmingham,
alabama,ala,bama,,
Alabama State,,,,
albany,alby,,,
Albany State Georgia,albany georgia,,,
appalachian state,app st,,,
arizona,ariz,az,,
arizona state,asu,,,
arkansas,ark,,,
arkansas state,arst,ARK ST,,
army,army,,,
Ashland,,,,
auburn,aub,,,
austin peay,peay,,,
ball state,ball,bsu,,
baylor,bay,,,
bethune-cookman,cook,,,
Bloomsburg,,,,
boise state,bsu,boise,,
boston college,bc,,,
bowling green,bgsu,,,
British Columbia,,,,
brown,brwn,,,
bryant,bry,,,
bucknell,buck,,,
buffalo,buff,ub,,
butler,but,,,
byu,byu,,,
cal poly,cp,,,
california,cal,,,
campbell,camp,,,
central arkansas,uca,,,
central connecticut,ccsu,,,
Central Florida,UCF,CF,,
central michigan,cmu,,,
Central Michigan,UCM,,,
Central Missouri State,CMSU,,,
Charleston West Virginia,CWV,,,
charleston southern,chso,,,
charlotte,char,,,
chattanooga,chat,,,
cincinnati,cin,cincy,,
clemson,clem,,,
coastal carolina,ccar,,,
colgate,colg,,,
colorado,colo,cu,,
colorado state,csu,,,
columbia,clmb,,,
Concordia-St.Paul,CSP,,,
Connecticut,Uconn,,,
cornell,cor,,,
dartmouth,dart,,,
davidson,dav,,,
dayton,day,,,
delaware,del,,,
delaware state,dsu,,,
drake,drke,,,
duke,duke,,,
duquesne,duq,,,
East Carolina,ecu,,,
East Central Oklahoma,ECOU,,,
eastern illinois,eiu,,,
eastern kentucky,eky,eku,,
eastern michigan,emu,,,
eastern washington,ewu,,,
elon,elon,,,
etsu,etsu,,,
Fayetteville State,Fayetteville,,,
Ferris State,Ferris St,,,
Findlay,,,,
florida,fla,uf,,
florida a&m,famu,,,
florida atlantic,fau,,,
florida international,fiu,,,
florida state,fsu,,,
fordham,for,ford,,
Fort Hays State,Fort Hays,,,
Fresno St,fres,Fresno State,FSU,
furman,fur,,,
gardner-webb,webb,,,
georgetown,gtwn,,,
georgia,uga,,,
georgia southern,gaso,,,
georgia state,gast,gsu,,
georgia tech,gt,gtech,,
Grambling State,Grambling,,,
Grand Valley State,GVSU,,,
hampton,hamp,,,
harvard,harv,,,
hawaii,haw,,,
Hobart,,,,
holy cross,hc,,,
houston,hou,,,
houston baptist,hbu,,,
Houston Christian,hcu,,,
howard,how,,,
Humboldt State,hsu,,,
idaho,idaho,,,
idaho state,idst,,,
illinois,ill,,,
illinois state,ilst,,,
incarnate word,iw,,,
indiana,ind,iu,,
indiana state,inst,,,
iowa,iowa,,,
iowa st,isu,,,
Jackson St.,jsu,,,
jacksonville,jac,,,
jacksonville state,jvst,,,
james madison,jmu,,,
kansas,ku,,,
kansas state,ksu,kansas st,,
kennesaw state,kenn,,,
kent state,kent,ksu,,
kentucky,uk,,,
Kutztown PA,kutztown,,,
lafayette,laf,,,
lamar,lam,,,
lehigh,leh,,,
Lenoir-Rhyne,,,,
liberty,lib,,,
Louisiana,,,,
louisiana lafayette,ull,,,
louisiana monroe,ulm,LA-Monroe,,
louisiana tech,lt,latech,,
louisville,lou,,,
lsu,lsu,,,
maine,maine,mne,,
Manitoba,,,,
marist,mrst,,,
Mars Hill,,,,
Marshall,,,,
maryland,umd,,,
Massachusetts,,,,
McGill,,,,
mcneese state,mcns,,,
memphis,mem,,,
mercer,mer,,,
miami florida,miami,mia,um,the u
miami ohio,m-oh,miami ohio,um ohio,
michigan,mich,um,,
michigan state,msu,,,
middle tennessee state,mtsu,,,
Midwestern State,,,,
minnesota,minn,,,
mississippi,ole miss,miss,,
mississippi state,msst,msu,,
missouri,miz,mizz,,
missouri state,most,,,
monmouth,monm,,,
montana,mont,,,
montana state,mtst,,,
morehead state,more,,,
morgan state,morg,,,
murray state,murr,,,
navy,navy,,,
nebraska,neb,,,
nevada,nev,,,
new hampshire,unh,,,
new mexico,unm,,,
new mexico state,nmsu,,,
Newberry,,,,
nicholls state,nich,,,
norfolk state,norf,,,
north carolina,unc,,,
north carolina a&t,ncat,,,
North Carolina Central,nccu,,,
North Carolina State,ncst,nc state,,
north dakota,und,,,
north dakota state,ndsu,nd st,north dakota st,
north texas,unt,,,
northern arizona,nau,,,
northern colorado,unco,,,
northern illinois,niu,,,
northern iowa,uni,,,
Northern Michigan,,,,
northwestern,nw,,,
northwestern state,nwst,,,
notre dame,nd,,,
NW Missouri State,nwmsu,,,
ohio,ohio,,,
ohio state,osu,ohio st,,
ohio valley,ovc,,,
oklahoma,okla,ou,,
oklahoma state,okst,,,
old dominion,odu,,,
ole miss,mississippi,ole miss,miss,
oregon,ore,uo,,
oregon state,orst,osu,,
Ouachita Baptist,,,,
penn state,psu,penn st,,
Pennsylvania,Penn,,,
pioneer,pioneer,,,
